"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"1 Ceres (A801 AA)","04:43:28.24","+15 56'53.0""","6.0e+3","-2.0e+3","6.0e+3","8.3","1.4e+1","4.0e+0","1","a0000001"
"85 Io (A865 SA)","04:44:38.54","+15 03'22.5""","7.0e+3","-5.0e+3","8.5e+3","12.4","1.7e+1","-1.2e+1","85","a0000085"
"145 Adeona (A875 LB)","04:18:06.00","+11 56'30.4""","-2.0e+4","-2.0e+4","2.3e+4","12.8","1.3e+1","4.2e+0","145","a0000145"
"288 Glauke (A890 DA)","04:35:14.84","+17 07'04.4""","-1.0e+3","2.0e+3","2.7e+3","15.5","7.4e+0","-8.9e-1","288","a0000288"
"311 Claudia (A891 LA)","04:19:12.84","+19 11'15.4""","-2.0e+4","1.0e+4","1.8e+4","15.1","8.5e+0","2.5e+0","311","a0000311"
"396 Aeolia (A894 XA)","04:44:15.95","+23 05'03.6""","6.0e+3","2.0e+4","2.5e+4","15.5","9.5e+0","1.3e+0","396","a0000396"
"521 Brixia (A904 AE)","04:42:23.55","+10 40'05.8""","5.0e+3","-2.0e+4","2.1e+4","12.0","3.8e+1","6.2e+0","521","a0000521"
"530 Turandot (A904 GB)","04:41:52.61","+11 49'18.9""","4.0e+3","-2.0e+4","1.7e+4","14.6","1.1e+1","-4.2e+0","530","a0000530"
"668 Dora (A908 OH)","05:01:07.36","+19 43'17.3""","2.0e+4","1.0e+4","2.4e+4","16.9","1.8e+1","-4.6e+0","668","a0000668"
"730 Athanasia (A912 GG)","04:32:48.70","+17 56'08.5""","-3.0e+3","5.0e+3","6.3e+3","18.4","1.1e+1","1.3e+0","730","a0000730"
"771 Libera (A913 WB)","04:57:15.91","+18 47'15.4""","2.0e+4","8.0e+3","1.9e+4","14.2","4.3e+1","-1.7e+1","771","a0000771"
"789 Lena (A914 MA)","04:52:47.76","+21 43'35.9""","1.0e+4","2.0e+4","2.3e+4","16.6","1.2e+1","-4.6e+0","789","a0000789"
"837 Schwarzschilda (A916 SK)","05:01:49.00","+18 06'42.7""","2.0e+4","6.0e+3","2.2e+4","16.6","3.1e+1","-6.3e+0","837","a0000837"
"861 Aida (A917 BF)","05:02:51.93","+14 53'09.2""","2.0e+4","-6.0e+3","2.3e+4","15.5","1.3e+1","-1.3e+0","861","a0000861"
"871 Amneris (A917 JD)","04:20:00.66","+16 02'00.7""","-1.0e+4","-2.0e+3","1.5e+4","17.0","1.1e+1","-3.3e+0","871","a0000871"
"885 Ulrike (A917 SV)","05:04:22.91","+18 46'34.6""","2.0e+4","8.0e+3","2.5e+4","15.7","1.9e+1","-5.5e-1","885","a0000885"
"1084 Tamariwa (1926 CC)","04:11:03.91","+17 46'08.3""","-2.0e+4","5.0e+3","2.3e+4","15.6","6.1e+0","-2.7e+0","1084","a0001084"
"1096 Reunerta (1928 OB)","04:22:48.87","+13 35'12.2""","-1.0e+4","-1.0e+4","1.6e+4","14.9","1.1e+1","3.6e+0","1096","a0001096"
"1140 Crimea (1929 YC)","04:43:05.10","+15 03'13.1""","5.0e+3","-5.0e+3","7.4e+3","14.2","1.7e+1","8.7e+0","1140","a0001140"
